,Unnamed: 0,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
250,254,RedDoorz Syariah near Sunrise Park Pangandaran,Hotel,Pangandaran Pangandaran,Jl. Pengadilan Lama No.45. Pangandaran. Kec. Pangandaran. Pangandaran. Jawa Barat 46396. Indonesia,3.7,152977,223650,-7.692968,108.662478
251,255,Pondok Sundawa 2 Pangandaran RedPartner,Hotel,Sidamulih Pangandaran,Jl. Pamugaran No.10. Cikembulan. Kec. Pangandaran. Kab. Pangandaran. Jawa Barat 46365. Indonesia,3.7,98325,228600,-7.684428,108.621111
252,256,Yokima Beach Hotel,Properti,Pangandaran Pangandaran,Jl. Kidang Pananjung 262. Pantai Timur Pangandaran. Pangandaran. Kabupaten Pangandaran. Jawa Barat,4.5,267500,312500,-7.703406,108.658235
253,257,AHLEN Pangandaran Hotel & Resto,Guest House,Pangandaran Pangandaran,Jl. Prapat No. 503. Pangandaran. Kec. Pangandaran. Kab. Pangandaran. Jawa Barat,4.5,250000,2250000,-7.69167,108.65877
254,258,RedDoorz Plus @ Hotel Sofia Pangandaran,Hotel,Pangandaran Pangandaran,Jl. Sumardi No.05. Pangandaran. Kec. Pangandaran. Kab. Pangandaran. Jawa Barat 46396. Indonesia,3.0,131043,357210,-7.695426,108.654936
255,259,RedDoorz near Pantai Barat Pangandaran 2,Hotel,Pangandaran Pangandaran,Jl. Kidang Pananjung No.168. Pangandaran. Kec. Pangandaran. Pangandaran. Jawa Barat 46396. Indonesia,4.4,168977,281138,-7.698394,108.657624
256,260,Nayyla Homestay,Homestay,Cijulang Pangandaran,Jalan Pantai Indah Legok Pari Batukaras Cijulang Pangandaran. 46394,3.0,192780,203000,-7.742987,108.478167
257,261,Panorama A La Plage Guest House,Guest House,Pangandaran Pangandaran,Jalan Pamugaran No. 1. Boulevard. Pantai Barat,4.0,130000,400001,-7.687520027160644,108.64723205566406
258,262,Sadewa Homestay Batukaras,Homestay,Cijulang Pangandaran,Blok Jumleng. RT 037/RW 004. Batukaras. Cijulang. Kabupaten Ciamis. Jawa Barat,4.8,150000,150000,-7.749939,108.497445
259,263,Pondok Herrlanda,Hotel,Pangandaran Pangandaran,Jl. Bulak Laut No.11. Pangandaran. Kec. Pangandaran. Kab. Pangandaran. Jawa Barat 46396. Indonesia,3.6,141554,357210,-7.693571,108.654128
